
Name                                       Count
----                                       -----
_                                              6
__mocks__                                      2
__pycache__                                  115
__tests__                                      8
_internal                                      2
_src                                           3
_vendor                                        2
.bin                                          24
.claude                                        5
.git                                           5
.github                                      184
.vscode                                        3
@alloc                                         2
@babel                                         6
@bcoe                                          3
@hapi                                          4
@istanbuljs                                    3
@jest                                          3
@jridgewell                                    5
@next                                          2
@noble                                         3
@nodelib                                       2
@paralleldrive                                 3
@sideway                                       3
@sinclair                                      3
@sinonjs                                       3
@tailwindcss                                   2
@types                                         5
01                                             2
01-getting-started                             2
01-next-config-js                              2
02-guides                                      2
47                                             2
aaa                                           20
abc                                            6
accepts                                        3
accessors                                      3
acorn                                          2
action                                         3
adapter                                        2
adapters                                       7
adaptive-traits                                2
address                                        3
admin                                          2
affect                                         2
affect-core                                    2
affect-currents                                2
affective-currents                             2
affective-engine                               2
affective-pathways                             2
affective-profile                              2
affective-streams                              2
affective-ui                                   3
after                                          2
agency                                         2
agents                                         8
AI                                             2
alias                                          2
analysis                                       2
analyze                                        2
animate                                        2
animation                                     12
ansi-escapes                                   3
ansi-regex                                     3
ansi-styles                                    7
anymatch                                       4
api                                           12
api-utils                                      2
app                                           15
app-dir                                        2
app-page                                       2
app-render                                     2
app-route                                      2
append                                         3
architecture                                   2
argparse                                       4
argument                                       3
array-flatten                                  3
asap                                           3
assert                                         5
asserts                                        5
assets                                        12
associative-links                              2
ast-types                                      5
async                                          2
async-storage                                  2
asynckit                                       4
audio                                          5
aura-mater                                     4
autobiographical-tissue                        2
avatar                                         3
avatar-engine                                  2
avatars                                        2
aws-data-api                                   3
b                                              2
babel                                          5
babel__core                                    4
babel__generator                               4
babel__template                                4
babel__traverse                                4
babel-jest                                     3
babel-plugin-istanbul                          3
babel-plugin-jest-hoist                        3
babel-preset-current-node-syntax               3
babel-preset-jest                              3
backups                                        4
balanced-match                                 5
base                                           3
base-http                                      2
baseline-browser-mapping                       5
baseline-states                                2
basis                                          2
baz                                            5
bbb                                           15
benchmark                                      4
benchmarks                                     4
better-sqlite3                                 3
BigInt                                         6
bin                                           73
blocks                                         2
body-parser                                    3
books                                          4
brace-expansion                                5
braces                                         5
brainstem                                      2
browser                                        9
browser_field                                  5
browser-logs                                   2
browserslist                                   6
BSDF                                           3
bser                                           3
buffer                                         3
buffer-equal-constant-time                     3
buffer-from                                    3
build                                        167
builders                                       5
built                                          2
builtin                                        4
bun-sqlite                                     3
bytes                                          4
c2                                             2
cache-handlers                                 2
cachecontrol                                   2
cadence-control                                2
call-bind-apply-helpers                        4
call-bound                                     4
callsites                                      4
camelcase                                      6
cameras                                        4
caniuse-lite                                   5
capabilities                                   3
cc                                             3
ccc                                           10
certifi                                        2
chain                                          3
chalk                                          4
char-regex                                     3
chroma-states                                  2
chunks                                         5
ci-info                                        4
cjs                                           38
cjs-module-lexer                               3
classes                                       21
classic                                        3
classify                                       2
cli                                            7
client                                         4
client-only                                    2
cliui                                          3
clone                                          5
clover                                         3
cluster                                        2
co                                             3
cobertura                                      3
code                                           3
code-frame                                     6
cognition                                      8
cognitive-currents                             2
collect-v8-coverage                            3
color-convert                                  4
color-name                                     4
columns                                        9
combined-stream                                4
commander                                      2
commands                                       2
comments                                       5
common                                         7
commonjs                                       3
commons                                        3
compat                                         4
compat-data                                    5
compatibility                                 10
compiler                                       3
component-emitter                              3
components                                     9
concat-map                                     4
conf                                           3
config                                        19
config-array                                   2
configs                                        5
console                                        3
constants                                      9
constraints                                    3
content-disposition                            4
content-type                                   4
context-items                                  3
contexts                                       4
continuity                                     7
continuity-propagation                         2
continuity-threads                             2
contradiction-processing                       2
controls                                       4
convert-source-map                             5
converters                                     5
cookie                                         4
cookie-signature                               3
cookiejar                                      3
core                                          31
cors                                           3
cortex                                         2
crawlers                                       3
create-jest                                    3
cross-spawn                                    5
crypto                                         3
csm                                            4
css                                            4
css-loader                                     2
cuid2                                          3
current-cache                                  2
current-density                                2
current-stream                                 2
curves                                         7
d1                                             3
daemon                                         2
dashboards                                     3
data                                          28
database                                       2
dateparts                                      6
db                                             3
de                                             2
debug                                         22
declarations                                   4
dedent                                         3
deep_ref                                       5
deep-storage                                   2
deepmerge                                      3
definitions                                    5
delayed-stream                                 4
demo                                           3
depd                                           3
deployment                                     5
deployment-tests                               2
deprecated                                     3
destroy                                        3
detect-newline                                 3
dev                                            7
development                                    3
device-setup                                   2
devtool                                        2
dezalgo                                        3
diagnostics                                    3
dialog                                         2
diff-sequences                                 3
display                                        6
disruption-signals                             2
dist                                         204
distlib                                        2
distribution                                  12
distro                                         2
